"id","title","category","data_ambigua","contexto"
"271d64f5-8f11-49d3-988e-930e5162fd6e","125 - Extintores","extintores","9/1/26","- **Data:** 9/1/26"
"ef86f657-fa58-4165-a400-c68c0b500cc1","126 - Elevadores","elevadores","1/4/93","- **Início Contrato:** 1/4/93"
"a9573122-8a51-4b6e-98be-c9427d2486f2","126 - Extintores","extintores","5/1/26","- **Data:** 5/1/26"
"4fcb8943-3654-4212-b101-aec382f91d34","128 - Elevadores","elevadores","1/1/15","- **Início Contrato:** 1/1/15"
"5606957b-a638-4895-a6e2-f244241e53d5","132 - Elevadores","elevadores","11/1/24","- **Data Inspeção:** Elevador nº 1 --23/02/2027 Elevador nº 2 --23/02/2027"
"bc1175be-36dd-4e2a-adc3-23ff85729129","133 - Empresa de Limpeza","geral","7/1/98","- **Data Contrato:** 7/1/98"
"86704b7a-db60-4bc5-a354-eb4dda446837","140 - Elevadores","elevadores","1/1/14","- **Data Inspeção:** 22/05/2026"
"49c9ed3f-e294-4560-a1fd-e071256d3cee","140 - Extintores","extintores","10/1/26","- **Data:** 10/1/26"
"79425e78-59c5-4f4d-a393-d1333b19d53c","141 - Elevadores","elevadores","7/1/25","- **Início Contrato:** 7/1/25"
"1eedf792-8423-4fde-8a67-e02a8a906e81","141 - Extintores","extintores","1/1/27","- **Data:** 1/1/27"
"c22d4754-1294-42f9-abfe-f8624d078e9d","143 - Elevadores","elevadores","4/1/15","- **Data Inspeção:** 17/10/2027"
"a5158869-6314-4a5a-afe8-8ccfeeae7abc","143 - Extintores","extintores","6/1/26","- **Data:** 6/1/26"
"ab85410d-9ac1-4cd0-a1cb-8153e2b62693","144 - Elevadores","elevadores","7/1/24","- **Data Inspeção:** 23/11/2026"
"3b61f6f4-baa1-44d7-be39-e9730c26c2bb","145 - Elevadores","elevadores","1/1/00","- **Início Contrato:** 1/1/00"
"4646688d-8d8b-4627-9aba-30e1abb82bbd","146 - Elevadores","elevadores","6/1/15","- **Início Contrato:** 6/1/15"
"f8b6b3b9-c485-4143-ae20-d5f0df22474e","147 - Elevadores","elevadores","6/1/18","- **Início Contrato:** 6/1/18"
"b609bf32-739a-4537-9301-e7422f2d1e8a","149 - Elevadores","elevadores","7/1/21","- **Início Contrato:** 7/1/21"
"2e1c8bee-0248-40a3-b90b-22b2a7555496","149 - Empresa de Limpeza","geral","6/7/21","- **Data Contrato:** 6/7/21"
"b0e4cf0e-2b3d-4a89-bfb3-a419be0ffd43","150 - Elevadores","elevadores","1/1/15","- **Início Contrato:** 1/1/15"
"59ac0165-bb28-486d-ab57-989617cbc2ed","150 - Empresa de Limpeza","geral","6/1/15","- **Data Contrato:** 6/1/15"
"dbddb809-d35c-4cb3-bfcc-e171ac35d62e","153 - Elevadores","elevadores","5/7/27","- **Data Inspeção:** 5/7/27"
"9362ccc8-f486-402a-a8b8-c605eecde550","155 - Empresa de Limpeza","geral","12/1/14","- **Data Contrato:** 12/1/14"
"fa320ab8-36bb-435c-b6e0-996bbb96da81","158 - Elevadores","elevadores","12/7/26","- **Data Inspeção:** 12/7/26"
"6528960d-249e-40e6-8c57-75b1268659aa","158 - Extintores","extintores","2/1/27","- **Data:** 2/1/27"
"abe5c472-4ca1-4d2d-bc35-3c1199c0791b","161 - Elevadores","elevadores","5/1/26","- **Data Inspeção:** 5/1/26"
"2a52bab7-9f40-411b-ad5b-f03bc65738e7","162 - Elevadores","elevadores","1/1/84","- **Início Contrato:** 1/1/84"
"8ed20a86-806e-4a58-b585-96352cfe3a80","165 - Elevadores","elevadores","1/1/15","- **Data Inspeção:** 18/09/2026"
"c80760ff-30b4-4b88-8d98-5a3954d070ce","165 - Extintores","extintores","10/1/26","- **Data:** 10/1/26"
"4e5277ef-2320-465a-8125-0339cedcb295","166 - Elevadores","elevadores","12/10/26","- **Data Inspeção:** 12/10/26"
"410caea1-41d8-48d9-805e-b868bbcb3b54","166 - Extintores","extintores","8/1/26","- **Data:** 8/1/26"
"3c5cb4cb-93d1-41c1-bb3b-ac87529f5eb7","167 - Extintores","extintores","10/1/26","- **Data:** 10/1/26"
"aa797fb5-3abe-4e7b-99cd-683f9d300191","168 - Empresa de Limpeza","geral","6/1/22","- **Data Contrato:** 6/1/22"
"aa5c8f00-926c-4825-8061-49581cfe1fba","171 - Empresa de Limpeza","geral","2/4/22","- **Data Contrato:** 2/4/22"
"592e1349-4fd9-40f0-bfd6-01355970901a","172 - Elevadores","elevadores","2/10/28","- **Data Inspeção:** 2/10/28"
"fd90a829-32b1-4621-99ec-5a0524d04614","172 - Extintores","extintores","7/1/26","- **Data:** 7/1/26"
"e5b80576-6ff9-4f5c-960f-c007f1af996f","173 - Empresa de Limpeza","geral","2/11/17","- **Data Contrato:** 2/11/17"
"a1235d6f-4cc2-43e5-b596-d3bd04a22ba8","174 - Elevadores","elevadores","4/9/25","- **Data Inspeção:** 18/11/2026"
"73d56e1e-106c-475b-a069-8288648c6318","174 - Empresa de Limpeza","geral","5/5/23","- **Data Contrato:** 5/5/23"
"7586404c-276e-4d34-acac-4297e9c5f881","174 - Extintores","extintores","8/1/26","- **Data:** 8/1/26"
"682527cb-0822-4365-985c-c627a0f81d97","175 - Elevadores","elevadores","1/1/14","- **Início Contrato:** 1/1/14"
"0c39c1d3-9a75-4687-97db-c2fdc6295ea0","175 - Empresa de Limpeza","geral","6/1/07","- **Data Contrato:** 6/1/07"
"94fec232-10f0-433f-b0fd-d263223724d3","175 - Extintores","extintores","6/1/26","- **Data:** 6/1/26"
"adeebd7a-9868-483b-be7a-3c00f443711b","176 - Elevadores","elevadores","3/1/94","- **Início Contrato:** 3/1/94"
"cbd1bb33-34e0-4c59-ad8c-8f5f3753789c","176 - Extintores","extintores","5/1/26","- **Data:** 5/1/26"
"0ac1e29b-2778-44ba-b5ee-79f23dcc3a7b","177 - Elevadores","elevadores","6/1/25","- **Início Contrato:** 6/1/25"
"5b7fc878-5c80-42a5-8706-bf8fa1c24272","178 - Elevadores","elevadores","8/1/22","- **Início Contrato:** 8/1/22"
"9084a064-b9b7-4c60-a91c-ae34db85e54c","178 - Extintores","extintores","8/1/26","- **Data:** 8/1/26"
"e5530132-807c-42d0-91e4-4da34879a129","180 - Elevadores","elevadores","12/7/26","- **Data Inspeção:** 12/7/26"
"ddd2bbf7-28f7-44e9-8341-abc043a8e94e","180 - Extintores","extintores","3/1/27","- **Data:** 3/1/27"
